Oily skin phenotype across the face, 22-year-old female, Fitzpatrick type III skin, shiny, oily skin with visible sebum, slightly enlarged pores, and a smooth even complexion without lesions. Realistic facial anatomy, natural skin texture, frontal facial close-up, soft even studio lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type V skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, front-facing studio portrait, even frontal lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type VI skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, front-facing studio portrait, gentle studio illumination.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type I skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, front-facing studio portrait, clear clinical illumination.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type II skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, front-facing studio portrait, soft controlled lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, front-facing studio portrait, uniform studio lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type IV skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, front-facing studio portrait, neutral soft lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, front-facing studio portrait, consistent frontal lighting.
Dry skin phenotype on the t-zone, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, front-facing studio portrait, diffused softbox lighting.
Dry skin phenotype on the cheeks, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, front-facing studio portrait, subtle even illumination.
Dry skin phenotype across the forehead and cheeks, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, front-facing studio portrait, natural-looking studio lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, front-facing studio portrait, clean clinical lighting.
Dry skin phenotype on the cheeks and chin, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, neutral-expression facial close-up, soft even studio lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, neutral-expression facial close-up, diffused clinical lighting.
Dry skin phenotype on the t-zone, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, neutral-expression facial close-up, balanced studio lighting.
Dry skin phenotype on the cheeks, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, neutral-expression facial close-up, soft neutral lighting.
Dry skin phenotype across the forehead and cheeks, 32-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, neutral-expression facial close-up, even frontal lighting.
Dry skin phenotype on the cheeks and chin, 32-year-old female, Fitzpatrick type V skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, neutral-expression facial close-up, gentle studio illumination.
Dry skin phenotype across the forehead and cheeks, 27-year-old female, Fitzpatrick type VI skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, neutral-expression facial close-up, clear clinical illumination.
Dry skin phenotype across the forehead and cheeks, 34-year-old female, Fitzpatrick type II skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, neutral-expression facial close-up, soft controlled lighting.
Dry skin phenotype across the face, 32-year-old female, Fitzpatrick type II skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, neutral-expression facial close-up, uniform studio lighting.
Dry skin phenotype across the face, 19-year-old female, Fitzpatrick type IV skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, neutral-expression facial close-up, neutral soft lighting.
Dry skin phenotype on the t-zone, 34-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, neutral-expression facial close-up, consistent frontal lighting.
Dry skin phenotype on the t-zone, 51-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, neutral-expression facial close-up, diffused softbox lighting.
Dry skin phenotype on the cheeks, 17-year-old female, Fitzpatrick type V skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, neutral-expression facial close-up, subtle even illumination.
Dry skin phenotype on the cheeks, 45-year-old female, Fitzpatrick type VI skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, neutral-expression facial close-up, natural-looking studio lighting.
Dry skin phenotype across the face, 21-year-old female, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, neutral-expression facial close-up, clean clinical lighting.
Dry skin phenotype across the face, 17-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, balanced facial composition, soft even studio lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, balanced facial composition, diffused clinical lighting.
Dry skin phenotype across the face, 45-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, balanced facial composition, balanced studio lighting.
Dry skin phenotype across the face, 18-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, balanced facial composition, soft neutral lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, balanced facial composition, even frontal lighting.
Dry skin phenotype across the face, 45-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, balanced facial composition, gentle studio illumination.
Dry skin phenotype across the face, 24-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, balanced facial composition, clear clinical illumination.
Dry skin phenotype across the face, 28-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, balanced facial composition, soft controlled lighting.
Dry skin phenotype across the face, 58-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, balanced facial composition, uniform studio lighting.
Dry skin phenotype across the face, 16-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, balanced facial composition, neutral soft lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, balanced facial composition, consistent frontal lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, balanced facial composition, diffused softbox lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, balanced facial composition, subtle even illumination.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, balanced facial composition, natural-looking studio lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, balanced facial composition, clean clinical lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, direct frontal portrait, soft even studio lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, direct frontal portrait, diffused clinical lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, direct frontal portrait, balanced studio lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, direct frontal portrait, soft neutral lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, direct frontal portrait, even frontal lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type I skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, direct frontal portrait, gentle studio illumination.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type II skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, direct frontal portrait, clear clinical illumination.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, direct frontal portrait, soft controlled lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type IV skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, direct frontal portrait, uniform studio lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type V skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, direct frontal portrait, neutral soft lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type VI skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, direct frontal portrait, consistent frontal lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type I skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, direct frontal portrait, diffused softbox lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type II skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, direct frontal portrait, subtle even illumination.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, direct frontal portrait, natural-looking studio lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type IV skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, direct frontal portrait, clean clinical lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered upper-face framing, soft even studio lighting.
Dry skin phenotype on the t-zone, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered upper-face framing, diffused clinical lighting.
Dry skin phenotype on the cheeks, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered upper-face framing, balanced studio lighting.
Dry skin phenotype across the forehead and cheeks, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered upper-face framing, soft neutral lighting.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered upper-face framing, even frontal lighting.
Dry skin phenotype on the cheeks and chin, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered upper-face framing, gentle studio illumination.
Dry skin phenotype across the face, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered upper-face framing, clear clinical illumination.
Dry skin phenotype on the t-zone, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered upper-face framing, soft controlled lighting.
Dry skin phenotype on the cheeks, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered upper-face framing, uniform studio lighting.
Dry skin phenotype across the forehead and cheeks, 32-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered upper-face framing, neutral soft lighting.
Dry skin phenotype across the forehead and cheeks, 16-year-old male, Fitzpatrick type II skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered upper-face framing, consistent frontal lighting.
Dry skin phenotype on the t-zone, 20-year-old male, Fitzpatrick type V skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered upper-face framing, diffused softbox lighting.
Dry skin phenotype across the forehead and cheeks, 22-year-old male, Fitzpatrick type IV skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered upper-face framing, subtle even illumination.
Dry skin phenotype on the t-zone, 32-year-old male, Fitzpatrick type V skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered upper-face framing, natural-looking studio lighting.
Dry skin phenotype on the cheeks and chin, 30-year-old male, Fitzpatrick type IV skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, centered upper-face framing, clean clinical lighting.
Dry skin phenotype across the face, 37-year-old male, Fitzpatrick type IV skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, natural facial close-up, soft even studio lighting.
Dry skin phenotype on the t-zone, 20-year-old male, Fitzpatrick type VI skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, natural facial close-up, diffused clinical lighting.
Dry skin phenotype across the face, 58-year-old male, Fitzpatrick type II skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, natural facial close-up, balanced studio lighting.
Dry skin phenotype on the t-zone, 17-year-old male, Fitzpatrick type I skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, natural facial close-up, soft neutral lighting.
Dry skin phenotype on the cheeks and chin, 27-year-old male, Fitzpatrick type III skin, matte, dry skin texture with fine flaking, subtle roughness, and an even healthy complexion without lesions. Realistic facial anatomy, natural skin texture, natural facial close-up, even frontal lighting.
Normal skin phenotype across the face, 23-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, natural facial close-up, gentle studio illumination.
Normal skin phenotype across the face, 34-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, natural facial close-up, clear clinical illumination.
Normal skin phenotype across the face, 55-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, natural facial close-up, soft controlled lighting.
Normal skin phenotype across the face, 20-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, natural facial close-up, uniform studio lighting.
Normal skin phenotype across the face, 28-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, natural facial close-up, neutral soft lighting.
Normal skin phenotype across the face, 57-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, natural facial close-up, consistent frontal lighting.
Normal skin phenotype across the face, 20-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, natural facial close-up, diffused softbox lighting.
Normal skin phenotype across the face, 35-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, natural facial close-up, subtle even illumination.
Normal skin phenotype across the face, 42-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, natural facial close-up, natural-looking studio lighting.
Normal skin phenotype across the face, 16-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, natural facial close-up, clean clinical lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, clinical straight-on view, soft even studio lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, clinical straight-on view, diffused clinical lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, clinical straight-on view, balanced studio lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, clinical straight-on view, soft neutral lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, clinical straight-on view, even frontal lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, clinical straight-on view, gentle studio illumination.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, clinical straight-on view, clear clinical illumination.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, clinical straight-on view, soft controlled lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, clinical straight-on view, uniform studio lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, clinical straight-on view, neutral soft lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type I skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, clinical straight-on view, consistent frontal lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type II skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, clinical straight-on view, diffused softbox lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, clinical straight-on view, subtle even illumination.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type IV skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, clinical straight-on view, natural-looking studio lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type V skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, clinical straight-on view, clean clinical lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type VI skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, evenly lit facial portrait, soft even studio lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type I skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, evenly lit facial portrait, diffused clinical lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type II skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, evenly lit facial portrait, balanced studio lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, evenly lit facial portrait, soft neutral lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type IV skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, evenly lit facial portrait, even frontal lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, evenly lit facial portrait, gentle studio illumination.
Normal skin phenotype on the t-zone, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, evenly lit facial portrait, clear clinical illumination.
Normal skin phenotype on the cheeks, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, evenly lit facial portrait, soft controlled lighting.
Normal skin phenotype across the forehead and cheeks, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, evenly lit facial portrait, uniform studio lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, evenly lit facial portrait, neutral soft lighting.
Normal skin phenotype on the cheeks and chin, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, evenly lit facial portrait, consistent frontal lighting.
Normal skin phenotype across the face, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, evenly lit facial portrait, diffused softbox lighting.
Normal skin phenotype on the t-zone, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, evenly lit facial portrait, subtle even illumination.
Normal skin phenotype on the cheeks, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, evenly lit facial portrait, natural-looking studio lighting.
Normal skin phenotype across the forehead and cheeks, 32-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, evenly lit facial portrait, clean clinical lighting.
Normal skin phenotype across the forehead and cheeks, 22-year-old female, Fitzpatrick type VI skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, full facial close-up, soft even studio lighting.
Normal skin phenotype across the forehead and cheeks, 20-year-old female, Fitzpatrick type IV skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, full facial close-up, diffused clinical lighting.
Normal skin phenotype across the face, 16-year-old female, Fitzpatrick type II skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, full facial close-up, balanced studio lighting.
Normal skin phenotype on the cheeks, 30-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, full facial close-up, soft neutral lighting.
Normal skin phenotype on the t-zone, 31-year-old female, Fitzpatrick type VI skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, full facial close-up, even frontal lighting.
Normal skin phenotype on the cheeks and chin, 38-year-old female, Fitzpatrick type IV skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, full facial close-up, gentle studio illumination.
Normal skin phenotype on the t-zone, 33-year-old female, Fitzpatrick type I skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, full facial close-up, clear clinical illumination.
Normal skin phenotype on the cheeks and chin, 31-year-old female, Fitzpatrick type VI skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, full facial close-up, soft controlled lighting.
Normal skin phenotype on the t-zone, 16-year-old female, Fitzpatrick type III skin, balanced, healthy, even-toned skin with a smooth surface, minimal pore visibility, and no visible lesions. Realistic facial anatomy, natural skin texture, full facial close-up, uniform studio lighting.
